Target Table,Target Column,Proposed Target Type,Source System,Source Table,Source Column(s),Source Type(s),Transformation / Mapping Rule,Join / Lookup,Null Handling,Notes
DimEmployee,EmployeeID,TEXT,Northwind,Employees,Employees.EmployeeID,INTEGER,Prefix with NORTHWIND: after casting Employees.EmployeeID to TEXT.,Employees is the source row.,Preserve source NULL where applicable.,Canonical source-prefixed identifier.
DimEmployee,EmployeeName,TEXT,Northwind,Employees,"Employees.FirstName, Employees.LastName","TEXT, TEXT",TRIM(Employees.FirstName || ' ' || Employees.LastName).,Employees is the source row.,Preserve source NULL components; trim whitespace.,
DimEmployee,Title,TEXT,Northwind,Employees,Employees.Title,TEXT,Direct mapping.,Employees is the source row.,Preserve source NULL.,
DimEmployee,City,TEXT,Northwind,Employees,Employees.City,TEXT,Direct mapping.,Employees is the source row.,Preserve source NULL.,
DimEmployee,Country,TEXT,Northwind,Employees,Employees.Country,TEXT,Direct mapping.,Employees is the source row.,Preserve source NULL.,
DimEmployee,ReportsTo,TEXT,Northwind,Employees,Employees.ReportsTo,INTEGER,"If Employees.ReportsTo is not NULL, prefix with NORTHWIND: after casting to TEXT; otherwise NULL.",Self-reference: Employees.ReportsTo -> Employees.EmployeeID.,Use NULL when no manager is recorded.,Preserves the manager reference inside its source namespace.
DimProduct,ProductID,TEXT,Chinook,Track,Track.TrackId,INTEGER,Prefix with CHINOOK: after casting Track.TrackId to TEXT.,Track is the source row.,Track.TrackId is required.,Canonical source-prefixed identifier.
DimProduct,ProductID,TEXT,Northwind,Products,Products.ProductID,INTEGER,Prefix with NORTHWIND: after casting Products.ProductID to TEXT.,Products is the source row.,Products.ProductID is required.,Canonical source-prefixed identifier.
DimProduct,ProductName,TEXT,Chinook,Track,Track.Name,NVARCHAR(200),Direct mapping.,Track is the source row.,Track.Name is required.,
DimProduct,ProductName,TEXT,Northwind,Products,Products.ProductName,TEXT,Direct mapping.,Products is the source row.,Products.ProductName is required.,
DimProduct,CategoryName,TEXT,Chinook,Track,NULL,N/A (no source column),Map NULL.,No lookup.,Use NULL.,Do not force Chinook album or artist data into Northwind category semantics.
DimProduct,CategoryName,TEXT,Northwind,Products -> Categories,Products.CategoryID -> Categories.CategoryID -> Categories.CategoryName,INTEGER -> INTEGER -> TEXT,Map Categories.CategoryName.,Products.CategoryID -> Categories.CategoryID.,"If Products.CategoryID is NULL or unmatched, use NULL.",
DimProduct,GenreName,TEXT,Chinook,Track -> Genre,Track.GenreId -> Genre.GenreId -> Genre.Name,INTEGER -> INTEGER -> NVARCHAR(120),Map Genre.Name.,Track.GenreId -> Genre.GenreId.,"If Track.GenreId is NULL or unmatched, use NULL.",
DimProduct,GenreName,TEXT,Northwind,Products,NULL,N/A (no source column),Map NULL.,No lookup.,Use NULL.,"Northwind has categories, not music genres."
DimProduct,Composer,TEXT,Chinook,Track,Track.Composer,NVARCHAR(220),Direct mapping.,Track is the source row.,Preserve source NULL.,
DimProduct,Composer,TEXT,Northwind,Products,NULL,N/A (no source column),Map NULL.,No lookup.,Use NULL.,Northwind has no composer attribute.
DimProduct,UnitPrice,NUMERIC,Chinook,Track,Track.UnitPrice,"NUMERIC(10, 2)",Direct mapping.,Track is the source row.,Track.UnitPrice is required.,
DimProduct,UnitPrice,NUMERIC,Northwind,Products,Products.UnitPrice,NUMERIC,Direct mapping.,Products is the source row.,Preserve source NULL.,
DimTime,DateKey,INTEGER,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Derive integer YYYYMMDD from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,FullDate,DATE,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Extract or cast the source datetime to calendar date.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,DayOfMonth,INTEGER,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Derive calendar day number from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,DayOfWeek,TEXT,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Derive a documented day-of-week label from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,Month,INTEGER,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Derive calendar month number from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,Quarter,INTEGER,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Derive calendar quarter number (1-4) from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,Year,INTEGER,Chinook,Invoice,Invoice.InvoiceDate,DATETIME,Derive calendar year from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,DateKey,INTEGER,Northwind,Orders,Orders.OrderDate,DATETIME,Derive integer YYYYMMDD from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,FullDate,DATE,Northwind,Orders,Orders.OrderDate,DATETIME,Extract or cast the source datetime to calendar date.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,DayOfMonth,INTEGER,Northwind,Orders,Orders.OrderDate,DATETIME,Derive calendar day number from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,DayOfWeek,TEXT,Northwind,Orders,Orders.OrderDate,DATETIME,Derive a documented day-of-week label from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,Month,INTEGER,Northwind,Orders,Orders.OrderDate,DATETIME,Derive calendar month number from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,Quarter,INTEGER,Northwind,Orders,Orders.OrderDate,DATETIME,Derive calendar quarter number (1-4) from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimTime,Year,INTEGER,Northwind,Orders,Orders.OrderDate,DATETIME,Derive calendar year from FullDate.,Contribute distinct calendar dates from both source systems to one conformed DimTime.,Exclude or handle NULL transaction dates during later ETL; do not invent a date.,"DimTime contains unique calendar dates, not one row per transaction."
DimSourceSystem,SourceSystemID,INTEGER,Chinook,N/A (static mapping),N/A,N/A,Constant 1.,No lookup.,Not applicable.,FactSales uses this value to identify business origin.
DimSourceSystem,SourceSystemName,TEXT,Chinook,N/A (static mapping),N/A,N/A,Constant Chinook.,No lookup.,Not applicable.,FactSales uses the corresponding SourceSystemID.
DimSourceSystem,SourceSystemID,INTEGER,Northwind,N/A (static mapping),N/A,N/A,Constant 2.,No lookup.,Not applicable.,FactSales uses this value to identify business origin.
DimSourceSystem,SourceSystemName,TEXT,Northwind,N/A (static mapping),N/A,N/A,Constant Northwind.,No lookup.,Not applicable.,FactSales uses the corresponding SourceSystemID.
FactSales,DateKey,INTEGER,Chinook,InvoiceLine -> Invoice,InvoiceLine.InvoiceId -> Invoice.InvoiceId -> Invoice.InvoiceDate,INTEGER -> INTEGER -> DATETIME,"Cast Invoice.InvoiceDate to calendar date, then derive YYYYMMDD.",InvoiceLine.InvoiceId -> Invoice.InvoiceId.,"If InvoiceDate is NULL, handle as unknown/unavailable during later ETL; do not invent a date.",One row per InvoiceLine.
FactSales,CustomerID,TEXT,Chinook,InvoiceLine -> Invoice,InvoiceLine.InvoiceId -> Invoice.InvoiceId -> Invoice.CustomerId,INTEGER -> INTEGER -> INTEGER,Prefix with CHINOOK: after casting Invoice.CustomerId to TEXT.,InvoiceLine.InvoiceId -> Invoice.InvoiceId.,"If Invoice.CustomerId is NULL, use NULL.",Matches DimCustomer.CustomerID strategy.
FactSales,EmployeeID,TEXT,Chinook,InvoiceLine -> Invoice -> Customer -> Employee,InvoiceLine.InvoiceId -> Invoice.InvoiceId -> Invoice.CustomerId -> Customer.CustomerId -> Customer.SupportRepId,INTEGER -> INTEGER -> INTEGER -> INTEGER -> INTEGER,"If Customer.SupportRepId is not NULL, prefix with CHINOOK: after casting to TEXT; otherwise NULL.",InvoiceLine.InvoiceId -> Invoice.InvoiceId; Invoice.CustomerId -> Customer.CustomerId; Customer.SupportRepId -> Employee.EmployeeId.,"If SupportRepId is NULL, target EmployeeID is NULL.","This represents the customer's assigned support representative, not an employee recorded directly on the invoice/sale."
FactSales,ProductID,TEXT,Chinook,InvoiceLine -> Track,InvoiceLine.TrackId -> Track.TrackId,INTEGER -> INTEGER,Prefix with CHINOOK: after casting InvoiceLine.TrackId to TEXT.,InvoiceLine.TrackId -> Track.TrackId.,InvoiceLine.TrackId is required.,Matches DimProduct.ProductID strategy.
FactSales,SourceSystemID,INTEGER,Chinook,N/A (static mapping),N/A,N/A,Constant 1.,No lookup.,Not applicable.,Identifies Chinook business origin.
FactSales,SalesQuantity,INTEGER,Chinook,InvoiceLine,InvoiceLine.Quantity,INTEGER,Direct mapping.,InvoiceLine is the fact grain row.,InvoiceLine.Quantity is required.,One row per InvoiceLine.
FactSales,SalesAmount,NUMERIC,Chinook,InvoiceLine,"InvoiceLine.UnitPrice, InvoiceLine.Quantity","NUMERIC(10, 2), INTEGER",InvoiceLine.UnitPrice * InvoiceLine.Quantity.,InvoiceLine is the fact grain row.,Both source fields are required.,Assignment-defined SalesAmount.
FactSales,DateKey,INTEGER,Northwind,Order Details -> Orders,Order Details.OrderID -> Orders.OrderID -> Orders.OrderDate,INTEGER -> INTEGER -> DATETIME,"Cast Orders.OrderDate to calendar date, then derive YYYYMMDD.",Order Details.OrderID -> Orders.OrderID.,"If Orders.OrderDate is NULL, handle as unknown/unavailable during later ETL; do not invent a date.",One row per Order Details row.
FactSales,CustomerID,TEXT,Northwind,Order Details -> Orders,Order Details.OrderID -> Orders.OrderID -> Orders.CustomerID,INTEGER -> INTEGER -> TEXT,Prefix with NORTHWIND: before Orders.CustomerID.,Order Details.OrderID -> Orders.OrderID.,"If Orders.CustomerID is NULL, target CustomerID is NULL.",Matches DimCustomer.CustomerID strategy.
FactSales,EmployeeID,TEXT,Northwind,Order Details -> Orders -> Employees,Order Details.OrderID -> Orders.OrderID -> Orders.EmployeeID,INTEGER -> INTEGER -> INTEGER,"If Orders.EmployeeID is not NULL, prefix with NORTHWIND: after casting to TEXT; otherwise NULL.",Order Details.OrderID -> Orders.OrderID; Orders.EmployeeID -> Employees.EmployeeID.,"If Orders.EmployeeID is NULL, target EmployeeID is NULL.",Employee is recorded directly on the order.
FactSales,ProductID,TEXT,Northwind,Order Details -> Products,Order Details.ProductID -> Products.ProductID,INTEGER -> INTEGER,Prefix with NORTHWIND: after casting Order Details.ProductID to TEXT.,Order Details.ProductID -> Products.ProductID.,Order Details.ProductID is required.,Matches DimProduct.ProductID strategy.
FactSales,SourceSystemID,INTEGER,Northwind,N/A (static mapping),N/A,N/A,Constant 2.,No lookup.,Not applicable.,Identifies Northwind business origin.
FactSales,SalesQuantity,INTEGER,Northwind,Order Details,Order Details.Quantity,INTEGER,Direct mapping.,Order Details is the fact grain row.,Order Details.Quantity is required.,One row per Order Details row.
FactSales,SalesAmount,NUMERIC,Northwind,Order Details,"Order Details.UnitPrice, Order Details.Quantity","NUMERIC, INTEGER",Order Details.UnitPrice * Order Details.Quantity.,Order Details is the fact grain row.,Both source fields are required.,Northwind Discount is not included in the assignment-defined SalesAmount. A discount-adjusted/net-sales measure may be considered separately during later dimensional-modeling decisions.
